price,bedrooms,bathrooms,sqft_living,sqft_lot
520000,3,2.5,2460,54885
175000,3,1,1010,7034
460000,2,2.25,1230,929
345000,4,2.5,2331,3826
455000,5,2.5,2240,7770
610000,4,3,2450,10117
563000,4,3,3100,15480
612500,4,2,2060,5000
218000,3,1.75,1850,7684
404000,4,1.75,1840,10720
860000,4,2,3740,32417
136500,3,1.5,1420,8580
313950,3,1,1510,6083
575000,3,1.75,2130,6500
1225000,4,2.25,3490,6906
280000,3,1.75,1630,11800
515000,3,2.5,1790,7167
513000,4,2.5,2000,5684
599000,4,2.25,2260,29930
685000,4,2.5,3030,7864
365000,3,1.5,1310,8160
762300,4,2.5,3880,14550
1580000,4,3.25,3760,10920
562000,5,2.25,3040,8111
530000,5,2.5,2910,9636
525000,3,2.5,2970,11985
484000,2,1.75,1660,6000
725126,4,2.5,3200,12369
360000,4,2,2680,18768
387000,3,1,1230,9568
483500,4,2.5,2740,45732
655500,4,3.5,3380,8330
345000,3,1,1110,6250
533000,5,2.75,1800,3780
385000,3,1.75,1900,5520
675000,2,1,930,36478
197000,3,1.75,1690,7735
485000,3,2,1420,4080
1870000,5,4,4510,15175
295000,3,2.25,1980,8000
499000,2,1.75,1170,2400
1050000,3,2.5,2200,1970
191000,3,1.5,800,8850
500000,3,2.5,1480,1171
390000,5,3.75,2890,5000
979000,3,2.5,2690,4047
580000,4,3.25,3569,8327
369950,3,2,1270,1320
1800000,5,5,4490,10279
776000,4,2.5,3040,6425
519950,3,2.25,1170,1249
255000,5,2.25,2060,8632
495000,3,1,990,6000
510000,4,2.5,2430,5203
1150000,4,4,4460,103382
253000,3,1.75,1250,10122
503000,3,2.75,1540,6760
275000,3,2.5,1600,7000
249000,3,1,1110,8423
310000,3,1.75,1840,10723
750000,3,2.75,2520,5401
630000,3,2.5,2680,327135
599999,9,4.5,3830,6988
758000,4,2.75,2410,9549
248500,4,1.75,1720,10018
310000,3,1.75,2070,37904
460000,3,2,1760,9055
675000,3,1.75,1680,10500
526000,2,2,1550,2400
560000,3,3,4120,60392
415000,4,3,1830,9548
246000,3,1,1400,7410
314500,3,1.75,1870,12381
3200000,7,4.5,6210,8856
420000,2,1.5,1040,3500
535000,3,1.75,2720,149410
350000,3,1,1010,9360
515000,3,1.75,1580,9147
749950,4,2.75,2600,6050
230000,3,2.5,1920,9180
568000,3,2,2350,5080
250000,1,1,1100,4373
581000,4,2,2510,13695
651000,3,2.5,3240,108366
600000,3,2.5,2460,108900
500000,2,1,1010,3885
475000,2,1,820,2723
352000,5,2.5,2420,8560
420000,3,2.25,1770,8165
428000,2,2,1350,3900
599000,3,1.75,1960,4788
492000,4,2.5,3305,16164
630000,2,2.25,2550,5663
900000,5,3.75,4130,226076
1110000,4,1.5,2310,13300
575000,4,2,1650,5000
705000,4,2.5,2650,4316
940000,4,2.25,1890,5940
313000,3,1.75,2190,8000
618080,3,2.5,2030,6500
640000,3,3,2270,5175
485000,3,2,1610,4160
300000,2,1,760,3001
379500,2,1,1640,17335
339950,3,2.25,1630,12295
1500000,6,2.5,3560,6480
1340000,3,3,2960,5500
500000,3,2.5,1940,37565
239900,3,2,1410,7566
314950,3,1,1040,16986
361280,2,1,820,6400
100000,2,1,910,22000
540000,7,5.75,3700,7647
480500,4,2.5,2180,11200
280000,3,2.5,1600,4271
440000,3,1.75,1500,6180
530000,3,1,1340,4284
560000,3,2,1860,13374
775000,3,2,2540,7200
160000,2,1,1040,13100
209950,3,1.5,1380,11130
226500,3,1.75,1640,10762
380000,5,1.75,3000,6000
409500,4,2.75,2140,13000
690000,3,2,1760,6428
405000,3,2.25,1660,8307
375000,3,2.5,1830,13042
794154,4,2,2210,8556
185000,4,1,1490,6600
245000,3,1.5,1260,1270
1532500,5,4.5,4270,8076
1040000,4,3.5,3900,8391
425000,2,2.5,1150,1027
495000,4,2.75,2656,21195
365000,5,2.75,2410,5003
417250,3,2.25,1606,1452
339950,2,1,820,681
615000,2,1,1540,6872
403000,3,2.75,2090,8354
980000,5,2.5,3160,11470
258000,4,1.75,1730,8320
533000,3,1,1670,4080
537500,4,2.5,2550,4630
830000,5,3,3040,9601
712000,3,1,1250,4620
262000,4,2.5,2020,6236
753888,4,2.5,2660,5500
134000,2,1.5,980,5000
402000,3,2.5,1960,8000
205000,2,1,720,5040
553650,2,2.5,1360,1349
559950,2,2,1870,4950
260000,4,1.5,2130,8800
270000,4,2.5,1810,6509
295000,2,1.75,2200,89298
719000,3,2.5,1690,4500
266000,3,2.5,1940,8547
325900,4,2.5,2320,6270
647500,4,1.75,2060,26036
1039000,4,1,3410,5000
569000,4,2.25,2250,41688
246000,3,1.75,1390,7399
515000,2,1,1060,4960
207000,3,1,1490,8995
780000,4,1.75,2480,9195
489990,5,2.25,2440,20828
335000,3,1.5,2240,87625
295000,3,2.5,1920,7229
385000,3,1.75,1890,9920
350000,4,1.75,2250,13515
235000,2,1,1270,3008
358000,2,1.5,960,1808
716500,4,2.5,3290,6465
228000,4,1.75,2000,6120
405000,2,1,1020,8155
538000,4,1.75,1840,9600
530000,3,1.75,1980,6760
1750000,6,3,3510,5760
636000,2,1.75,1230,3600
535000,4,2.5,2280,65836
1500000,3,1.75,2430,12757
868500,3,2.5,2920,3942
530000,4,2.75,2280,2850
450000,3,2,1510,43560
230000,3,1.75,950,6000
229000,3,2.5,1190,3000
437000,3,1.75,1310,9282
1307000,5,3.25,2800,3200
595000,3,2.5,1750,3354
660000,3,1.75,1320,5750
347500,4,2.5,2460,7350
297950,3,2,1240,10800
245000,3,1.5,1260,7964
543200,6,2.25,2820,15600
1250000,4,3.25,3820,24166
413450,3,2.5,1540,1614
330000,2,2,1550,435600
424500,3,1.75,1460,7700
230000,3,1,1390,16000
930000,3,3.25,2640,4080
349000,3,1.75,1590,9620
835000,4,2,1910,6960
988500,3,2.75,2015,16807
500000,3,1.75,1410,1197
499000,2,1.5,1110,957
321950,2,1.25,860,1277
494000,3,2.5,2310,4729
441750,2,1.5,1020,1060
438000,2,1,980,1179
985000,4,2.25,4230,37769
352000,3,2.25,1640,11050
839900,4,3.5,3810,13592
765000,4,2.75,2790,10819
460000,4,1.75,1750,5500
224500,4,1,1430,8355
254000,3,2.5,1850,4597
255000,2,1,960,28717
610000,3,3,2480,45302
920000,4,3,3750,11025
402500,4,2.5,2600,11951
280950,3,1.75,1390,8700
604000,4,2.5,2260,7753
565000,4,2.25,2470,7447
255000,2,1,810,7980
445000,4,2,1650,6000
2400000,3,2.25,3000,11665
195000,2,1,720,18000
275000,3,1.5,1390,48257
387000,3,2.25,1445,1606
490000,2,1,1840,3300
505000,3,2.5,2100,5824
303500,3,1.5,1060,10464
270000,3,1.5,1500,6337
323000,4,2.75,1970,7213
382000,3,3.25,1410,1253
1370000,4,2.75,3720,9450
280000,4,2,2190,14439
260000,3,2,1920,8075
201500,3,1,1160,8320
1157200,4,4.25,5860,52889
536500,4,1.75,2000,4000
248000,4,3,2163,5883
532000,5,3,3480,57499
580000,4,2.5,2840,6268
463000,2,1,1150,4400
742500,4,2.75,3100,3773
260000,3,2.5,1420,14850
590000,4,2.25,2430,32496
312000,4,2.25,1930,7452
566000,3,2.25,1660,10140
511555,3,2,1400,7293
583000,4,2.5,2660,4000
290000,4,2.5,2000,13300
311100,4,2.25,2130,8078
325000,3,2.25,1352,1694
491300,3,1.75,1750,11340
315000,5,1.75,2320,8100
360000,2,1,1420,81892
330000,4,2.5,1940,3784
481450,3,2,1410,4800
234950,3,1,1360,9948
251000,3,1.75,1220,7250
782000,4,2.5,2830,20345
833000,4,2.75,3780,10308
542500,4,2.5,2330,14289
851000,3,2.5,3560,107290
325000,4,1.5,1470,70800
415000,4,2.25,3060,48787
252500,3,1,1030,6127
465000,4,2.5,1930,9653
336900,3,1.75,1780,120661
225000,3,2.5,2000,9202
270000,3,2,1690,9583
1702500,5,4.5,5190,23716
536000,3,1.75,1300,5413
585000,4,3.25,2400,29252
445000,2,2,1150,6634
320000,4,2.25,2310,7490
769900,4,3.5,2730,3047
557000,4,2.5,2840,4500
212000,2,1.5,1020,1525
376000,3,2,1340,1384
800000,4,3.25,3540,159430
2238888,5,6.5,7270,130017
324000,3,2.25,998,904
549900,5,2.75,3060,7015
320000,3,2.5,2130,6969
875000,4,2,2520,6000
265000,4,1,1940,9533
394950,3,2.5,1350,1250
842500,4,2.5,2160,5298
368000,3,2.5,1370,1350
1225000,4,4.5,5420,101930
885000,4,2.5,2830,5000
453246,3,2.5,2010,2287
927000,4,2.75,3300,12090
490000,2,2.5,1230,1391
341000,3,1.5,1720,7119
235000,1,1,810,2451
1200000,3,1.75,1560,8078
560000,3,2,2560,216777
900000,4,3.25,4700,38412
255000,2,1,1220,2500
1575000,5,2.75,3650,20150
876650,3,3.25,2170,12508
540000,4,2.25,2540,228254
350000,2,1,910,4500
750000,4,2.5,2980,4930
582000,4,1.75,2120,4650
1315000,4,3.5,3460,3997
372500,5,3,2480,10090
410000,3,2.25,2200,16921
360000,4,2,1730,5500
1015000,3,2.5,2920,34527
225000,3,1,990,8012
647000,4,2.5,3040,6887
950000,5,3,4530,258746
185000,3,1.5,1370,8470
335000,3,2.5,1940,4927
210000,3,2.5,1040,2643
522000,4,2.25,1800,8623
770000,3,1.75,1720,5000
499950,3,1,980,6380
751000,4,2.5,3110,6142
330000,5,3,2100,7715
465000,3,1.5,2020,11358
850000,4,1.75,2350,11914
947500,4,2.25,3290,12329
302000,5,2.25,2180,7813
500000,2,2.25,1290,1334
201000,3,1,1460,9750
265000,2,1,1290,2828
870300,4,2.5,2350,3150
339000,3,1,1080,8100
690000,4,2.5,2670,13463
788000,4,3.25,3680,5759
315275,3,1.75,1440,8040
505000,4,1.75,1940,4800
368000,3,1,1280,9898
947500,3,2.75,2980,27144
156000,3,1,970,8580
610000,4,3,2110,5000
420000,2,2.5,1480,1369
192000,2,1,700,10540
910000,3,2,2700,6120
1300000,4,3.25,2330,9687
1346400,5,1.75,3380,20021
840000,4,2.75,2600,2750
300000,2,1.75,1360,8100
505000,4,2.5,2780,6369
110000,3,1,1250,53143
746000,3,2.5,2620,8950
211000,3,1.5,1350,7620
675000,4,3,2400,3340
734200,4,2.5,2760,5000
1225000,4,2.25,3070,16028
615000,2,1.75,2040,28593
630000,4,2,1770,6000
1264000,4,3.75,3490,9170
301500,2,1.5,830,1333
369000,2,2.5,980,895
635000,3,2.5,1570,1433
1033888,4,3.25,3270,5187
383000,4,2.5,2160,6223
1050000,4,3.75,3280,11000
455000,4,2.5,3360,7685
819900,5,2.75,3150,7119
625000,3,3.5,1810,1846
651000,4,2.5,2740,7140
480000,5,4.75,3830,35000
757000,3,3.25,3190,5283
460000,3,2.25,2350,10450
267345,4,2.25,2510,8165
530000,2,2,1680,4950
449500,3,2,1770,6610
289000,3,1,1090,7315
373000,5,2.5,3001,5710
525000,5,3,2450,4591
777000,3,3.25,3610,59677
550000,4,2,2250,7500
523000,3,1.5,1240,7735
628000,4,2,2260,6000
581000,4,1.75,2090,8164
245000,5,1.75,2020,7902
415000,3,1.75,1960,5000
1895000,5,2.25,3120,16672
225000,3,1.5,1250,7500
287000,3,2.25,1490,9600
799200,6,3,2890,2370
239950,3,1,1900,33888
591000,3,1.75,1680,2400
700000,3,2.5,2030,8398
475000,4,2.5,3740,8700
575000,3,1.75,1580,11750
771000,3,2.25,1780,6120
155000,2,1,910,6232
550000,7,4,3440,8100
645000,3,2.5,1740,13750
464000,5,2.5,3400,8970
1050000,4,3.25,4400,16625
350000,3,2.5,2010,14298
591000,4,2.25,2710,38180
2555000,4,2.5,5300,26211
717000,3,1.5,1310,3880
225000,4,1.5,1950,12559
225000,3,1,1040,6535
345000,3,1.75,1090,7200
230000,2,0.75,650,5360
385000,3,2,1480,6600
90000,2,1,790,2640
860000,4,2.5,3560,11119
675000,4,2.5,3000,5548
975000,4,2.5,3490,7494
780000,3,1.75,2340,10495
370000,3,1.75,1650,8254
665000,3,2,1940,5820
675000,5,3,3410,9600
620000,3,1,1710,4050
1105000,4,1.5,2740,4000
450000,3,2.75,1250,892
450000,3,2.25,2450,42180
530000,3,1.75,1690,8190
635000,4,1.75,1950,13320
580000,5,2,2290,7125
1550000,5,3.25,3370,17458
285000,3,1,1090,8640
375000,3,1,1190,9486
1400000,5,4.25,3530,7924
560000,3,1,1440,5000
405000,4,1.75,2180,13529
413000,4,1,1410,6000
287600,3,2.5,1950,8251
1680000,5,3.25,4860,23723
225000,3,1,1660,7210
319000,3,1,1390,12823
322500,3,2,1350,14200
570000,3,2,1530,5401
465000,3,1.5,1270,5112
435000,4,2.25,2140,6355
502000,4,2.5,2040,5616
525000,3,3.5,2876,5086
525000,3,2.5,1580,1161
660000,4,3.5,3400,5196
870000,4,2.5,3520,6773
650000,4,2.5,2210,4861
505000,4,2.5,2790,5602
330000,3,2.5,1450,5008
385000,4,1.75,1620,4980
306000,3,1.5,1220,1086
546000,3,1.75,2000,5000
925000,4,2.5,2190,7350
542000,4,1.75,1900,8250
800000,3,1,1700,4400
620000,5,2.5,2540,3832
175000,2,1,1170,8925
740000,5,5,5774,31675
345000,3,2.25,2120,15003
510000,3,1.75,2170,26460
530000,4,2.75,2450,15002
155000,2,1,700,5200
266000,3,2.5,1780,7214
257200,3,2,1850,8250
265000,3,2,1570,5706
372220,3,1,1290,5500
337500,5,2,1700,7314
582500,2,1.5,1159,4800
489200,3,2.75,1850,9600
405100,2,1,840,3522
372977,3,2.5,1690,1618
310000,3,1,1050,9876
538000,3,1.75,1400,3825
1400000,3,2.5,2550,7200
317000,3,2.5,1840,5011
702500,3,1.5,2360,6750
565000,4,2.5,2240,14667
723000,4,2.5,2700,4004
766950,3,2.5,3030,30007
682000,3,1.75,1830,5120
325000,3,2.5,2220,6049
543000,3,2.5,2090,7640
525000,3,1.75,1600,6120
364000,4,1.75,2010,8625
394475,2,1,830,4000
316000,4,2.5,2010,7226
339950,3,1,1050,5402
486000,4,2.5,2150,39449
160000,3,1,860,11900
930000,3,2.5,3100,20553
139000,3,1,1100,17334
562000,3,1.5,1830,8000
299000,2,1.75,1250,34395
511000,3,2.5,1820,4883
499000,3,2,2090,42689
356000,3,3.5,2100,12384
470000,4,2.5,2310,14023
715000,4,2.25,2060,5649
1120000,4,2.25,4470,60373
458000,3,1,1660,7500
966000,5,4.5,3810,8019
305495,3,1.75,2110,10200
543000,2,2,2370,217800
340000,3,2.25,1970,3716
633100,4,2.5,2470,33305
310000,3,1,1480,7830
349950,5,3,2257,10117
267800,2,1,700,6000
234000,4,2,1630,9010
740000,4,2.5,3430,10157
607500,5,1.75,2220,6000
223000,3,1.75,1340,7473
400000,2,1,980,2130
802000,3,2.5,2580,13096
253000,4,2.5,2230,4541
1058000,4,2,2290,11137
300000,3,1,1260,8280
625000,4,2.75,1680,11180
707000,4,3.25,3200,7081
950000,4,2.5,3320,7644
420000,4,2.5,3040,24123
498000,4,2.75,2270,7375
450000,3,2.5,2910,17172
955000,5,2.25,2510,9887
215000,2,1,1240,7200
437000,3,2.75,2580,5200
773000,3,2.75,2470,3600
1222500,4,3.5,4910,9444
256883,3,2.5,1690,5025
592500,4,2.5,2240,12032
252350,3,2,1650,7352
370000,4,2.5,2710,5880
465750,3,1.5,1260,10350
185000,3,1,1150,8100
582800,4,2.75,2550,7636
245000,3,1.75,1490,6930
302000,4,1.75,2020,7865
451555,2,1,1320,4520
250000,3,1,1230,10350
255000,4,2.5,2070,7800
840000,4,1.75,2930,11562
190000,3,1,1090,8520
349950,3,1,1400,7066
613000,4,2,1550,4815
300000,3,1,1220,13000
455000,3,2.5,1870,7344
335000,3,2.25,2150,30476
197500,3,1,980,3090
412500,3,1.5,1490,8475
395300,3,1.5,1120,7000
342400,3,2.25,1180,9630
749400,4,2.5,3240,20301
316500,4,2.5,2150,6807
390000,3,2.5,2240,10800
225000,3,2,1400,7384
550000,3,2.25,1980,40887
280000,3,1,1330,20562
1255000,4,2.5,3200,7535
575000,2,1,1490,6000
1000000,5,4.25,3920,16258
585000,5,1.75,2000,3750
620000,4,2.5,2680,9185
204700,4,2,1670,9987
695000,4,3,3150,9130
689900,4,3.25,2740,7266
375000,4,1.75,1890,8000
475000,7,3.5,2870,29699
215000,3,1,1160,10384
2100000,4,1.75,3550,19865
790000,3,1.75,1790,6117
350000,3,1.75,1680,250470
695000,3,2.5,4560,17622
263000,3,2.25,1590,7748
400000,3,1,1630,10304
525000,3,2.5,2700,7434
349950,3,2.5,1700,7496
1085000,4,3.25,3740,12080
744000,4,3,1980,5352
312500,2,1,880,6345
240000,3,2,1400,6200
495000,4,2,2050,4000
580050,3,2.5,2360,4638
640000,4,2,2560,7798
417000,3,1.5,1340,10224
174950,3,1,1060,5200
295000,3,1.5,850,2500
423000,4,1.75,1880,7303
839000,3,1,1230,12305
343000,4,1.75,2290,10290
467000,3,1,1660,6582
512500,3,2.5,1840,2875
575000,4,2.5,3020,17810
465000,3,1.75,1410,6886
270000,3,1,1010,9514
340000,3,1.75,1960,8136
765000,5,3.75,3580,14275
497000,4,2.5,2240,7200
803100,4,2.5,3310,5404
344000,3,2.5,1232,1130
828950,4,3.5,3930,5680
386380,3,2.5,1720,3600
312000,3,2.25,1490,974
720000,3,2.5,3150,151588
914500,4,2.5,3950,10856
819995,5,2.75,3030,10335
252700,2,1.5,1070,9643
437500,3,2.5,2320,36847
350000,1,1,700,5100
619000,3,2.5,2720,6439
408200,3,2.5,1800,5761
451000,3,1.75,1560,4049
317000,3,2,1760,11410
799000,4,3.25,3120,5000
720000,2,1,2020,7200
490000,3,2,1450,2400
239900,4,2.25,1860,7000
446000,4,2.25,2270,7800
275000,3,2.5,1480,15639
239950,5,1,1460,6032
248000,4,3.5,1850,6519
619500,3,2.5,2170,5000
363750,3,1.75,1726,197326
385000,3,1.75,1180,10541
370000,4,1.5,1370,9957
425000,3,2.5,2670,13218
342000,3,1,1260,6826
345000,4,1,1980,7991
724800,3,2,2050,3933
725000,5,2.75,2830,5310
605000,2,1,910,3600
350000,4,2.5,2440,4000
785000,3,2,2180,5440
250000,3,2,1900,6660
565000,3,2.25,1520,1221
875000,3,2,2220,6641
862500,4,2.75,3280,24440
400000,3,2.5,2740,83199
282613,2,1,830,6017
174500,2,1,1010,5200
306500,3,2.25,2060,38377
445000,3,2.25,1990,7340
433000,4,2.5,2280,7568
306000,3,2.5,1870,5874
620000,3,2.25,1720,4000
245000,2,1,870,6150
238000,3,2,1020,1204
523000,3,1.5,1260,3135
522500,3,2.5,2370,7875
180000,3,1,1000,18513
375000,3,1.5,1100,1751
249000,3,2.25,1440,7673
730100,4,2.5,3120,14300
551000,2,2,2260,9604
375000,4,2.5,2790,7956
540000,1,1,1140,6700
605000,3,2.25,1290,2500
205000,5,1.75,1730,5200
645000,4,2.5,3160,11380
314000,4,2.5,2340,8990
330000,3,1.5,1170,4950
490000,2,1,1160,5000
445000,3,3,1970,24318
2000000,5,4.25,6490,10862
377500,3,2.25,1410,1377
480000,4,2.5,2430,5000
804995,5,1.5,3360,5402
341000,3,2.5,1480,1663
675000,5,2.5,3200,6455
611000,3,2.5,2134,1984
379950,3,3.25,1860,1787
1270000,4,3,5520,8313
500000,2,2.5,1310,1500
410000,3,2,1700,4250
415000,3,2.5,2480,8342
297000,5,2.5,1970,8605
575550,4,2.5,2060,7475
534640,3,2.5,2130,3500
352500,3,2.25,1410,14110
488000,2,2,1360,4688
732000,3,2,1940,55756
215000,2,2.25,1610,2040
592500,2,2,1420,9191
290000,4,2.5,1700,7280
475000,2,1,1490,3825
320000,3,2.5,2680,7757
1216000,4,2.5,3190,8684
290000,5,1.5,2120,7700
487250,4,2,1690,3250
339000,4,2.5,1830,8601
440000,2,1.5,1010,1968
366500,4,2.75,2070,9300
462000,3,1.5,1710,4500
560000,4,1,1660,4690
285000,4,1.75,2080,13629
280000,3,2.5,1270,9675
210000,3,1,1080,21043
690000,3,2,1610,5100
256500,2,1,1120,9912
411000,4,2.75,2500,5257
215000,3,1,970,7275
762000,5,2,3370,5000
359950,3,1,1290,189486
480000,4,3.5,3370,435600
1405000,4,3.5,3410,10769
390000,4,2.5,2490,8290
413500,2,1,770,4000
285000,1,1.5,810,3211
475000,4,2.5,3060,10043
386591,3,2.5,1690,1613
524950,3,1.75,1890,3825
241000,2,2,1470,3128
461000,2,1,1060,7193
810000,4,2.5,3480,59242
885000,4,2.75,2730,3560
247000,3,2.25,1580,7941
296500,3,2.75,2170,7900
141800,2,1,930,4743
333000,4,2,1580,7800
602000,5,1.75,3290,11900
565000,4,2.25,2110,10698
373000,3,2.5,1670,3565
588000,3,2.25,2030,7350
485000,3,1,1500,4100
482500,3,2.25,1450,1445
251200,4,1.5,1310,8250
869000,5,3.25,4180,49222
464000,3,1.75,1630,28600
755000,4,2.5,2660,10452
280000,3,2.5,1720,1916
485000,2,2.25,1260,1240
305000,3,1.75,1610,12247
110700,2,1,680,8064
850000,4,3.5,2640,5900
350000,3,2.25,1640,7200
319950,4,1.75,2310,8045
700000,3,1.75,2010,4905
368000,2,1.5,1660,4680
433500,3,2.5,2200,3360
611000,4,2.5,2460,4200
1000000,2,1.75,2430,23400
307000,3,1,1370,7500
442500,3,1.75,1800,10200
485000,3,1.75,2200,7706
367000,2,1,700,2334
429000,3,2.5,1920,15124
446000,5,2.75,2190,12687
572500,3,2.25,2030,9791
477000,3,2.5,1350,2053
518000,3,2.5,1680,2096
462000,5,1.75,1250,10530
1190000,4,3,2240,6000
137000,3,1,950,7620
530000,3,3.5,2320,3174
818000,2,2.5,2380,9374
640000,2,2.25,1540,958
298450,5,3,2100,9752
575000,4,2.5,2500,4945
730000,4,2.5,3230,7331
551000,3,2.5,2830,5802
271310,2,1,870,5340
675000,4,3,2690,28300
479000,3,2.5,1260,889
520000,4,3.5,2680,10000
599950,3,2.5,2660,4975
483945,2,1.75,1480,5120
390000,4,2.25,1770,33132
192500,2,1,950,7692
330000,2,1,860,8308
250000,4,2,1960,7560
243000,2,1,1770,5522
575000,4,1.75,1280,6060
639000,4,2.5,2150,12028
710000,2,1,1790,4000
675000,3,2.25,1990,10260
405000,5,2.5,2430,4781
615000,4,2.75,2820,13193
490000,3,1,1910,8190
467000,3,2.25,1270,1213
480000,4,2.75,2050,3960
755000,6,2,2150,4505
760000,4,1.75,2450,13300
387000,2,2.25,1230,1280
925000,4,2.25,2260,41984
415000,2,1,1050,60113
263000,3,1.75,1570,7775
519900,4,2,1820,9350
570000,2,1.75,1540,4025
450000,3,1.5,2060,44866
1300000,4,3.5,4380,74052
300000,3,1,1090,9900
320000,3,1.75,1480,7225
387500,4,1,1320,4440
458000,1,2.25,2140,10350
